Index,Anomaly
0,Yes
1,Yes
2,Yes
3,Yes
4,Yes
5,Yes
6,Yes
7,Yes
8,Yes
9,Yes
10,Yes
11,Yes
12,Yes
13,Yes
14,Yes
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
20,Yes
22,Yes
23,Yes
24,Yes
25,Yes
27,Yes
28,Yes
35,Yes
36,Yes
37,Yes
38,Yes
39,Yes
40,Yes
41,Yes
42,Yes
43,Yes
44,Yes
45,Yes
46,Yes
47,Yes
48,Yes
49,Yes
50,Yes
51,Yes
52,Yes
53,Yes
54,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,Yes
69,Yes
70,Yes
71,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
134,Yes
135,Yes
136,Yes
1717,Yes
1718,Yes
1719,Yes
1720,Yes
1721,Yes
1790,Yes
1791,Yes
1792,Yes
1797,Yes
1798,Yes
1799,Yes
1800,Yes
1801,Yes
1802,Yes
1803,Yes
1804,Yes
1805,Yes
1806,Yes
1807,Yes
