Index,Anomaly
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,Yes
69,Yes
70,Yes
71,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
134,Yes
135,Yes
136,Yes
137,Yes
138,Yes
139,Yes
200,Yes
201,Yes
202,Yes
203,Yes
204,Yes
205,Yes
206,Yes
207,Yes
208,Yes
209,Yes
210,Yes
211,Yes
372,Yes
373,Yes
374,Yes
375,Yes
444,Yes
445,Yes
446,Yes
494,Yes
496,Yes
515,Yes
588,Yes
677,Yes
678,Yes
679,Yes
680,Yes
681,Yes
682,Yes
683,Yes
684,Yes
687,Yes
689,Yes
690,Yes
693,Yes
844,Yes
845,Yes
846,Yes
847,Yes
848,Yes
849,Yes
850,Yes
851,Yes
960,Yes
961,Yes
962,Yes
1044,Yes
1120,Yes
1153,Yes
1154,Yes
1155,Yes
1252,Yes
1717,Yes
1718,Yes
1719,Yes
1720,Yes
1721,Yes
1723,Yes
1727,Yes
1799,Yes
1800,Yes
1801,Yes
1802,Yes
1803,Yes
1804,Yes
1805,Yes
1806,Yes
1807,Yes
